Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,6,18.26,-153.435,2
0.2,0,6,18.26,-153.435,2
0.3,0,6,18.26,-153.435,2
0.4,0,6,18.26,-153.435,2
0.5,0,6,18.26,-153.435,2
0.6,0,6,18.26,-153.435,2
0.7,0,6,18.26,-153.435,2
0.8,0,6,18.26,-153.435,2
0.9,0,6,18.26,-153.435,2
1,0,6,18.26,-153.435,2
1.1,0,6,18.26,-153.435,2
1.2,0,6,18.26,-153.435,2
1.3,0,6,18.26,-153.435,2
1.4,0,6,18.26,-153.435,2
1.5,0,6,18.26,-153.435,2
1.6,0,6,18.26,-153.435,2
1.7,0,6,18.26,-153.435,2
1.8,0,6,18.26,-153.435,2
1.9,0,6,18.26,-153.435,2
2,0,6,18.26,-153.435,2
2.1,99.8541,6,18.26,-153.435,2
2.2,8.45632,6,18.2464,-153.435,2
2.3,0,6,18.0752,-153.435,2
2.4,0,6,17.6867,-153.435,2
2.5,0,6,17.0474,-153.435,2
2.6,0,6,16.1205,-153.435,2
2.7,0,6,14.8655,-153.435,2
2.8,0,6,13.2385,-153.435,2
2.9,0,6,11.1924,-153.435,2
3,0,6,8.67751,-153.435,2
3.1,0,6,5.64261,-153.435,2
3.2,0,6,2.03576,-153.435,2
3.3,0,7,-1.70921,-153.435,2
3.4,0,7,2.62553,-153.435,3
3.5,0,7,6.55255,-153.435,3
3.6,0,7,10.0094,-153.435,3
3.7,0,7,12.9368,-153.435,3
3.8,0,7,15.2813,-153.435,3
3.9,0,7,16.998,-153.435,3
4,0,7,18.0526,-153.435,3
4.1,0,7,18.4235,-153.435,3
4.2,0,7,18.1029,-153.435,1
4.3,0,7,18.1029,-153.435,3
4.4,0,7,17.0976,-153.435,3
4.5,0,7,15.4281,-153.435,3
4.6,0,7,13.1279,-153.435,3
4.7,0,7,10.2412,-153.435,3
4.8,0,7,6.82101,-153.435,3
4.9,0,7,2.92616,-153.435,3
5,0,7,-1.38102,-153.435,3
5.1,0,8,1.74926,-153.435,3
5.2,0,8,5.39979,-153.435,4
5.3,0,8,8.47461,-153.435,4
5.4,0,8,11.0256,-153.435,4
5.5,0,8,13.1041,-153.435,4
5.6,0,8,14.7601,-153.435,4
5.7,0,8,16.0406,-153.435,4
5.8,0,8,16.99,-153.435,4
5.9,0,8,17.649,-153.435,4
6,0,8,18.0546,-153.435,4
6.1,0,8,18.2406,-153.435,4
6.2,0,8,18.2505,-153.435,4
6.3,0,8,18.0917,-153.435,4
6.4,0,8,17.7175,-153.435,4
6.5,0,8,17.0947,-153.435,4
6.6,0,8,16.1866,-153.435,4
6.7,0,8,14.9531,-153.435,4
6.8,0,8,13.3503,-153.435,4
