Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,6,18.26,-135,2
0.2,0,6,18.26,-135,2
0.3,0,6,18.26,-135,2
0.4,0,6,18.26,-135,2
0.5,0,6,18.26,-135,2
0.6,0,6,18.26,-135,2
0.7,0,6,18.26,-135,2
0.8,0,6,18.26,-135,2
0.9,0,6,18.26,-135,2
1,0,6,18.26,-135,2
1.1,0,6,18.26,-135,2
1.2,0,6,18.26,-135,2
1.3,0,6,18.26,-135,2
1.4,0,6,18.26,-135,2
1.5,0,6,18.26,-135,2
1.6,0,6,18.26,-135,2
1.7,0,6,18.26,-135,2
1.8,0,6,18.26,-135,2
1.9,0,6,18.26,-135,2
2,0,6,18.26,-135,2
2.1,36.6054,6,18.26,-135,2
2.2,0,6,18.26,-135,2
2.3,0,6,18.26,-135,2
2.4,0,6,18.26,-135,2
2.5,0,6,18.26,-135,2
2.6,0,6,18.26,-135,2
2.7,0,6,18.26,-135,2
2.8,0,6,18.26,-135,2
2.9,0,6,18.26,-135,2
3,0,6,18.26,-135,2
3.1,100.665,6,18.26,-135,2
3.2,24.4422,6,18.26,-135,2
3.3,0,6,18.26,-135,2
3.4,0,6,18.26,-135,2
3.5,0,6,18.26,-135,2
3.6,0,6,18.26,-135,2
3.7,0,6,18.26,-135,2
3.8,0,6,18.26,-135,2
3.9,0,6,18.26,-135,2
4,0,6,18.26,-135,2
4.1,0,6,18.26,-135,2
4.2,110.859,6,18.26,-135,1
4.3,101.823,6,18.26,-135,2
4.4,86.9958,6,18.26,-135,2
4.5,0,6,18.26,-135,2
4.6,0,6,18.26,-135,2
4.7,0,6,18.26,-135,2
4.8,0,6,18.26,-135,2
4.9,0,6,18.26,-135,2
5,0,6,18.26,-135,2
5.1,0,6,18.26,-135,2
5.2,0,6,18.26,-135,2
5.3,0,6,18.26,-135,2
5.4,49.6954,6,18.26,-135,2
5.5,100.317,6,18.26,-135,2
5.6,100.086,6,18.26,-135,2
5.7,99.9699,6,18.26,-135,2
5.8,99.9699,6,18.26,-135,2
5.9,100.086,6,18.26,-135,2
6,99.8541,6,18.26,-135,2
6.1,99.9699,6,18.26,-135,2
6.2,36.6054,6,18.26,-135,2
6.3,0,6,18.26,-135,2
6.4,0,6,18.26,-135,2
6.5,0,6,18.26,-135,2
6.6,0,6,18.26,-135,2
6.7,0,6,18.26,-135,2
6.8,0,6,18.26,-135,2
6.9,0,6,18.26,-135,2
7,0,6,18.26,-135,2
7.1,0,6,18.26,-135,2
7.2,100.202,6,18.26,-135,2
7.3,100.433,6,18.26,-135,2
7.4,66.0288,6,18.26,-135,2
7.5,0,6,18.26,-135,2
7.6,0,6,18.26,-135,2
7.7,0,6,18.26,-135,2
7.8,0,6,18.26,-135,2
