Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,8,18.8593,-45,4
0.2,0,8,18.8593,-45,4
0.3,0,8,18.8593,-45,4
0.4,0,8,18.8593,-45,4
0.5,0,8,18.8593,-45,4
0.6,0,8,18.8593,-45,4
0.7,0,8,18.8593,-45,4
0.8,0,8,18.8593,-45,4
0.9,0,8,18.8593,-45,4
1,0,8,18.8593,-45,4
1.1,0,8,18.8593,-45,4
1.2,0,8,18.8593,-45,4
1.3,0,8,18.8593,-45,4
1.4,0,8,18.8593,-45,4
1.5,0,8,18.8593,-45,4
1.6,0,8,18.8593,-45,4
1.7,0,8,18.8593,-45,4
1.8,0,8,18.8593,-45,4
1.9,0,8,18.8593,-45,4
2,0,8,18.8593,-45,4
2.1,99.8541,8,18.8593,-45,4
2.2,0,8,18.8593,-45,4
2.3,0,8,18.8593,-45,4
2.4,0,8,18.8593,-45,4
2.5,0,8,18.8593,-45,4
2.6,0,8,18.8593,-45,4
2.7,0,8,18.8593,-45,4
2.8,0,8,18.8593,-45,4
2.9,0,8,18.8593,-45,4
3,0,8,18.8593,-45,4
3.1,0,8,18.8593,-45,4
3.2,136.46,8,18.8593,-45,4
3.3,99.9699,8,18.8593,-45,4
3.4,99.9699,8,18.8593,-45,4
3.5,100.086,8,18.8593,-45,4
3.6,99.8541,8,18.8593,-45,4
3.7,100.086,8,18.8593,-45,4
3.8,99.8541,8,18.8593,-45,4
3.9,100.086,8,18.8593,-45,4
4,99.2749,8,18.8593,-45,4
4.1,16.3334,8,18.8593,-45,4
4.2,0,8,18.8593,-45,1
4.3,0,8,18.8593,-45,4
4.4,0,8,18.8593,-45,4
4.5,0,8,18.8593,-45,4
4.6,0,8,18.8593,-45,4
4.7,0,8,18.8593,-45,4
4.8,0,8,18.8593,-45,4
4.9,0,8,18.8593,-45,4
5,0,8,18.8593,-45,4
5.1,121.165,8,18.8593,-45,4
5.2,100.437,8,18.8593,-45,4
5.3,99.8541,8,18.8593,-45,4
5.4,6.60288,8,18.8593,-45,4
5.5,0,8,18.8593,-45,4
5.6,0,8,18.8593,-45,4
5.7,0,8,18.8593,-45,4
5.8,0,8,18.8593,-45,4
5.9,0,8,18.8593,-45,4
6,0,8,18.8593,-45,4
6.1,0,8,18.8593,-45,4
6.2,0,8,18.8593,-45,4
6.3,0,8,18.8593,-45,4
6.4,29.5718,8,18.8593,-45,4
6.5,0,8,18.8593,-45,4
6.6,0,8,18.8593,-45,4
6.7,0,8,18.8593,-45,4
6.8,0,8,18.8593,-45,4
6.9,0,8,18.8593,-45,4
7,0,8,18.8593,-45,4
7.1,0,8,18.8593,-45,4
7.2,0,8,18.8593,-45,4
7.3,0,8,18.8593,-45,4
7.4,123.569,8,18.8593,-45,4
7.5,99.6224,8,18.8593,-45,4
7.6,100.317,8,18.8593,-45,4
7.7,99.9699,8,18.8593,-45,4
7.8,99.9699,8,18.8593,-45,4
7.9,100.086,8,18.8593,-45,4
8,47.9578,8,18.8593,-45,4
8.1,99.9699,8,18.8593,-45,4
8.2,88.0384,8,18.8593,-45,4
8.3,0,8,18.8593,-45,4
8.4,0,8,18.8593,-45,4
8.5,0,8,18.8593,-45,1
8.6,0,8,18.8593,-45,4
8.7,0,8,18.8593,-45,4
8.8,0,8,18.8593,-45,4
8.9,0,8,18.8593,-45,4
9,0,8,18.8593,-45,4
9.1,0,8,18.8593,-45,4
9.2,49.0003,8,18.8593,-45,4
9.3,99.9699,8,18.8593,-45,4
9.4,99.9699,8,18.8593,-45,4
9.5,99.9699,8,18.8593,-45,4
9.6,100.086,8,18.8593,-45,4
9.7,99.9699,8,18.8593,-45,4
9.8,100.086,8,18.8593,-45,4
9.9,99.9699,8,18.8593,-45,4
10,99.9699,8,18.8593,-45,4
10.1,99.9699,8,18.8593,-45,4
10.2,99.9699,8,18.8593,-45,4
10.3,73.5584,8,18.8593,-45,4
10.4,0,8,18.8593,-45,4
10.5,0,8,18.8593,-45,4
10.6,0,8,18.8593,-45,4
10.7,0,8,18.8593,-45,4
10.8,0,8,18.8593,-45,4
10.9,0,8,18.8593,-45,4
11,0,8,18.8593,-45,4
11.1,0,8,18.8593,-45,4
11.2,0,8,18.8593,-45,4
11.3,63.5962,8,18.8593,-45,4
11.4,100.086,8,18.8593,-45,4
11.5,0,8,18.8593,-45,4
11.6,0,8,18.8593,-45,4
11.7,0,8,18.8593,-45,4
11.8,0,8,18.8593,-45,4
11.9,0,8,18.8593,-45,4
12,0,8,18.8593,-45,4
12.1,0,8,18.8593,-45,4
12.2,0,8,18.8593,-45,4
12.3,0,8,18.8593,-45,4
12.4,0,8,18.8593,-45,4
12.5,1.91168,8,18.8593,-45,4
12.6,0,8,18.8593,-45,4
12.7,0,8,18.8593,-45,4
12.8,0,8,18.8593,-45,1
12.9,0,8,18.8593,-45,4
13,0,8,18.8593,-45,4
13.1,0,8,18.8593,-45,4
13.2,0,8,18.8593,-45,4
13.3,0,8,18.8593,-45,4
13.4,0,8,18.8593,-45,4
13.5,0,8,18.8593,-45,4
13.6,0,8,18.8593,-45,4
13.7,0,8,18.8593,-45,4
13.8,0,8,18.8593,-45,4
13.9,0,8,18.8593,-45,4
14,0,8,18.8593,-45,4
14.1,0,8,18.8593,-45,4
14.2,0,8,18.8593,-45,4
14.3,0,8,18.8593,-45,4
14.4,0,8,18.8593,-45,4
14.5,0,8,18.8593,-45,4
14.6,0,8,18.8593,-45,4
14.7,0,8,18.8593,-45,4
14.8,0,8,18.8593,-45,4
14.9,0,8,18.8593,-45,4
15,0,8,18.8593,-45,4
15.1,0,8,18.8593,-45,4
15.2,0,8,18.8593,-45,4
15.3,0,8,18.8593,-45,4
15.4,0,8,18.8593,-45,4
15.5,126.439,8,18.8593,-45,4
15.6,100.086,8,18.8593,-45,4
15.7,99.6224,8,18.8593,-45,4
15.8,0,8,18.8593,-45,4
15.9,0,8,18.8593,-45,4
16,0,8,18.8593,-45,4
16.1,0,8,18.8593,-45,4
16.2,0,8,18.8593,-45,4
16.3,0,8,18.8593,-45,4
16.4,0,8,18.8593,-45,4
16.5,0,8,18.8593,-45,4
16.6,0,8,18.8593,-45,4
16.7,0,8,18.8593,-45,4
16.8,0,8,18.8593,-45,4
16.9,0,8,18.8593,-45,4
