Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,8,18.8593,-45,4
0.2,0,8,18.8593,-45,4
0.3,0,8,18.8593,-45,4
0.4,0,8,18.8593,-45,4
0.5,0,8,18.8593,-45,4
0.6,0,8,18.8593,-45,4
0.7,0,8,18.8593,-45,4
0.8,0,8,18.8593,-45,4
0.9,0,8,18.8593,-45,4
1,0,8,18.8593,-45,4
1.1,0,8,18.8593,-45,4
1.2,0,8,18.8593,-45,4
1.3,0,8,18.8593,-45,4
1.4,0,8,18.8593,-45,4
1.5,0,8,18.8593,-45,4
1.6,0,8,18.8593,-45,4
1.7,0,8,18.8593,-45,4
1.8,0,8,18.8593,-45,4
1.9,0,8,18.8593,-45,4
2,0,8,18.8593,-45,4
2.1,99.7382,8,18.8593,-45,4
2.2,100.086,8,18.8593,-45,4
2.3,99.9699,8,18.8593,-45,4
2.4,100.086,8,18.8593,-45,4
2.5,99.9699,8,18.8593,-45,4
2.6,99.9699,8,18.8593,-45,4
2.7,100.086,8,18.8593,-45,4
2.8,99.8541,8,18.8593,-45,4
2.9,99.9699,8,18.8593,-45,4
3,100.086,8,18.8593,-45,4
3.1,100.086,8,18.8593,-45,4
3.2,99.8541,8,18.8593,-45,4
3.3,100.086,8,18.8593,-45,4
3.4,99.9699,8,18.8593,-45,4
3.5,100.086,8,18.8593,-45,4
3.6,99.9699,8,18.8593,-45,4
3.7,100.082,8,18.8593,-45,4
3.8,99.5104,8,18.8593,-45,4
3.9,100.433,8,18.8593,-45,4
4,99.8541,8,18.8593,-45,4
4.1,19.6928,8,18.8593,-45,4
4.2,0,8,18.8593,-45,1
4.3,0,8,18.8593,-45,4
4.4,0,8,18.8593,-45,4
4.5,0,8,18.8593,-45,4
4.6,0,8,18.8593,-45,4
4.7,0,8,18.8593,-45,4
4.8,0,8,18.8593,-45,4
4.9,0,8,18.8593,-45,4
5,0,8,18.8593,-45,4
5.1,0.112,8,18.8593,-45,4
5.2,0,8,18.8593,-45,4
5.3,117.697,8,18.8593,-45,4
5.4,99.9699,8,18.8593,-45,4
5.5,99.9699,8,18.8593,-45,4
5.6,100.086,8,18.8593,-45,4
5.7,99.9699,8,18.8593,-45,4
5.8,99.9699,8,18.8593,-45,4
5.9,99.9699,8,18.8593,-45,4
6,100.086,8,18.8593,-45,4
6.1,99.9699,8,18.8593,-45,4
6.2,99.9699,8,18.8593,-45,4
6.3,99.9699,8,18.8593,-45,4
6.4,100.086,8,18.8593,-45,4
6.5,99.9699,8,18.8593,-45,4
6.6,99.9699,8,18.8593,-45,4
6.7,99.9699,8,18.8593,-45,4
6.8,100.086,8,18.8593,-45,4
6.9,99.9699,8,18.8593,-45,4
7,99.9699,8,18.8593,-45,4
7.1,100.086,8,18.8593,-45,4
7.2,66.608,8,18.8593,-45,4
7.3,99.9699,8,18.8593,-45,4
7.4,99.9699,8,18.8593,-45,4
7.5,100.086,8,18.8593,-45,4
7.6,99.9699,8,18.8593,-45,4
7.7,99.9699,8,18.8593,-45,4
7.8,99.9699,8,18.8593,-45,4
7.9,99.9699,8,18.8593,-45,4
8,100.086,8,18.8593,-45,4
8.1,99.9699,8,18.8593,-45,4
8.2,99.9699,8,18.8593,-45,4
8.3,100.086,8,18.8593,-45,4
8.4,99.9699,8,18.8593,-45,4
8.5,99.159,8,18.8593,-45,1
8.6,100.781,8,18.8593,-45,4
8.7,100.086,8,18.8593,-45,4
8.8,99.9699,8,18.8593,-45,4
8.9,99.9699,8,18.8593,-45,4
9,99.9699,8,18.8593,-45,4
9.1,100.086,8,18.8593,-45,4
9.2,99.9699,8,18.8593,-45,4
9.3,99.9699,8,18.8593,-45,4
9.4,100.086,8,18.8593,-45,4
9.5,99.9699,8,18.8593,-45,4
9.6,99.9699,8,18.8593,-45,4
9.7,99.9699,8,18.8593,-45,4
9.8,99.9699,8,18.8593,-45,4
9.9,100.086,8,18.8593,-45,4
10,99.9699,8,18.8593,-45,4
10.1,99.9699,8,18.8593,-45,4
10.2,99.9699,8,18.8593,-45,4
10.3,100.086,8,18.8593,-45,4
10.4,99.9699,8,18.8593,-45,4
10.5,99.9699,8,18.8593,-45,4
10.6,100.086,8,18.8593,-45,4
10.7,99.9699,8,18.8593,-45,4
10.8,99.9699,8,18.8593,-45,4
10.9,99.9699,8,18.8593,-45,4
11,99.9699,8,18.8593,-45,4
11.1,98.1165,8,18.8593,-45,4
11.2,0,8,18.8593,-45,4
11.3,0,8,18.8593,-45,4
11.4,0,8,18.8593,-45,4
11.5,94.5254,8,18.8593,-45,4
11.6,99.8541,8,18.8593,-45,4
11.7,100.086,8,18.8593,-45,4
11.8,99.9699,8,18.8593,-45,4
11.9,99.9699,8,18.8593,-45,4
12,100.086,8,18.8593,-45,4
12.1,99.8541,8,18.8593,-45,4
12.2,99.9699,8,18.8593,-45,4
12.3,99.9699,8,18.8593,-45,4
12.4,100.202,8,18.8593,-45,4
12.5,99.8541,8,18.8593,-45,4
12.6,100.086,8,18.8593,-45,4
12.7,99.9699,8,18.8593,-45,4
12.8,64.0595,8,18.8593,-45,1
12.9,0,8,18.8593,-45,4
13,0,8,18.8593,-45,8
13.1,0,8,18.8593,-45,4
13.2,124.18,8,18.8593,-45,4
13.3,100.086,8,18.8593,-45,4
13.4,100.086,8,18.8593,-45,4
13.5,99.6224,8,18.8593,-45,4
13.6,100.202,8,18.8593,-45,4
13.7,99.9699,8,18.8593,-45,4
13.8,99.9699,8,18.8593,-45,4
13.9,100.202,8,18.8593,-45,4
14,99.8541,8,18.8593,-45,4
14.1,100.086,8,18.8593,-45,4
14.2,99.9699,8,18.8593,-45,4
14.3,100.086,8,18.8593,-45,4
14.4,99.9699,8,18.8593,-45,4
14.5,99.9699,8,18.8593,-45,4
14.6,99.8541,8,18.8593,-45,4
14.7,100.086,8,18.8593,-45,4
14.8,100.086,8,18.8593,-45,4
14.9,99.8541,8,18.8593,-45,4
15,100.202,8,18.8593,-45,4
15.1,95.4522,8,18.8593,-45,4
15.2,0,8,18.8593,-45,4
15.3,0,8,18.8593,-45,8
15.4,0,8,18.8593,-45,8
15.5,37.648,8,18.8593,-45,8
15.6,0,8,18.8593,-45,8
15.7,0,8,18.8593,-45,8
15.8,0,8,18.8593,-45,8
15.9,0,8,18.8593,-45,8
