Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,8,18.8593,-45,4
0.2,0,8,18.8593,-45,4
0.3,0,8,18.8593,-45,4
0.4,0,8,18.8593,-45,4
0.5,0,8,18.8593,-45,4
0.6,0,8,18.8593,-45,4
0.7,0,8,18.8593,-45,4
0.8,0,8,18.8593,-45,4
0.9,0,8,18.8593,-45,4
1,0,8,18.8593,-45,4
1.1,0,8,18.8593,-45,4
1.2,0,8,18.8593,-45,4
1.3,0,8,18.8593,-45,4
1.4,0,8,18.8593,-45,4
1.5,0,8,18.8593,-45,4
1.6,0,8,18.8593,-45,4
1.7,0,8,18.8593,-45,4
1.8,0,8,18.8593,-45,4
1.9,0,8,18.8593,-45,4
2,0,8,18.8593,-45,4
2.1,99.8541,8,18.8593,-45,4
2.2,99.9699,8,18.8593,-45,4
2.3,99.9699,8,18.8593,-45,4
2.4,99.9699,8,18.8593,-45,4
2.5,100.086,8,18.8593,-45,4
2.6,100.086,8,18.8593,-45,4
2.7,99.7382,8,18.8593,-45,4
2.8,99.9699,8,18.8593,-45,4
2.9,100.202,8,18.8593,-45,4
3,99.7382,8,18.8593,-45,4
3.1,100.317,8,18.8593,-45,4
3.2,99.9699,8,18.8593,-45,4
3.3,99.9699,8,18.8593,-45,4
3.4,99.9699,8,18.8593,-45,4
3.5,99.9699,8,18.8593,-45,4
3.6,100.086,8,18.8593,-45,4
3.7,100.086,8,18.8593,-45,4
3.8,99.8541,8,18.8593,-45,4
3.9,99.9699,8,18.8593,-45,4
4,99.9699,8,18.8593,-45,4
4.1,21.3146,8,18.8593,-45,4
4.2,0,8,18.8593,-45,1
4.3,0,8,18.8593,-45,4
4.4,0,8,18.8593,-45,4
4.5,0,8,18.8593,-45,4
4.6,0,8,18.8593,-45,4
4.7,0,8,18.8593,-45,4
4.8,0,8,18.8593,-45,4
4.9,0,8,18.8593,-45,4
5,0,8,18.8593,-45,4
5.1,104.719,8,18.8593,-45,4
5.2,99.9699,8,18.8593,-45,4
5.3,100.086,8,18.8593,-45,4
5.4,99.9699,8,18.8593,-45,4
5.5,99.9699,8,18.8593,-45,4
5.6,100.086,8,18.8593,-45,4
5.7,99.9699,8,18.8593,-45,4
5.8,99.9699,8,18.8593,-45,4
5.9,100.086,8,18.8593,-45,4
6,99.8541,8,18.8593,-45,4
6.1,100.086,8,18.8593,-45,4
6.2,99.9699,8,18.8593,-45,4
6.3,100.086,8,18.8593,-45,4
6.4,99.9699,8,18.8593,-45,4
6.5,99.9699,8,18.8593,-45,4
6.6,99.9699,8,18.8593,-45,4
6.7,100.086,8,18.8593,-45,4
6.8,99.9699,8,18.8593,-45,4
6.9,99.9699,8,18.8593,-45,4
7,99.9699,8,18.8593,-45,4
7.1,100.086,8,18.8593,-45,4
7.2,99.9699,8,18.8593,-45,4
7.3,99.9699,8,18.8593,-45,4
7.4,99.9699,8,18.8593,-45,4
7.5,100.086,8,18.8593,-45,4
7.6,99.9699,8,18.8593,-45,4
7.7,99.9699,8,18.8593,-45,4
7.8,99.9699,8,18.8593,-45,4
7.9,99.9699,8,18.8593,-45,4
8,100.086,8,18.8593,-45,4
8.1,99.9699,8,18.8593,-45,4
8.2,99.9699,8,18.8593,-45,4
8.3,100.086,8,18.8593,-45,4
8.4,99.9699,8,18.8593,-45,4
8.5,99.159,8,18.8593,-45,1
8.6,100.897,8,18.8593,-45,4
8.7,99.9699,8,18.8593,-45,4
8.8,99.9699,8,18.8593,-45,4
8.9,99.9699,8,18.8593,-45,4
9,100.086,8,18.8593,-45,4
9.1,99.9699,8,18.8593,-45,4
9.2,99.9699,8,18.8593,-45,4
9.3,99.9699,8,18.8593,-45,4
9.4,100.086,8,18.8593,-45,4
9.5,99.9699,8,18.8593,-45,4
9.6,99.9699,8,18.8593,-45,4
9.7,99.9699,8,18.8593,-45,4
9.8,100.086,8,18.8593,-45,4
9.9,99.8541,8,18.8593,-45,4
10,100.086,8,18.8593,-45,4
10.1,99.9699,8,18.8593,-45,4
10.2,100.086,8,18.8593,-45,4
10.3,99.9699,8,18.8593,-45,4
10.4,99.9699,8,18.8593,-45,4
10.5,99.9699,8,18.8593,-45,4
10.6,100.086,8,18.8593,-45,4
10.7,99.9699,8,18.8593,-45,4
10.8,99.9699,8,18.8593,-45,4
10.9,99.9699,8,18.8593,-45,4
11,100.086,8,18.8593,-45,4
11.1,99.9699,8,18.8593,-45,4
11.2,99.9699,8,18.8593,-45,4
11.3,99.9699,8,18.8593,-45,4
11.4,100.086,8,18.8593,-45,4
11.5,99.9699,8,18.8593,-45,4
11.6,99.7382,8,18.8593,-45,4
11.7,100.086,8,18.8593,-45,4
11.8,99.9699,8,18.8593,-45,4
11.9,100.202,8,18.8593,-45,4
12,99.7382,8,18.8593,-45,4
12.1,100.202,8,18.8593,-45,4
12.2,99.9699,8,18.8593,-45,4
12.3,99.9699,8,18.8593,-45,4
12.4,100.082,8,18.8593,-45,4
12.5,99.9738,8,18.8593,-45,4
12.6,99.8541,8,18.8593,-45,4
12.7,99.8541,8,18.8593,-45,4
12.8,62.3219,8,18.8593,-45,1
12.9,0,8,18.8593,-45,4
13,0,8,18.8593,-45,4
13.1,0,8,18.8593,-45,4
13.2,123.601,8,18.8593,-45,4
13.3,99.9699,8,18.8593,-45,4
13.4,99.9699,8,18.8593,-45,4
13.5,99.9699,8,18.8593,-45,4
13.6,100.086,8,18.8593,-45,4
13.7,99.9699,8,18.8593,-45,4
13.8,99.9699,8,18.8593,-45,4
13.9,100.086,8,18.8593,-45,4
14,99.8541,8,18.8593,-45,4
14.1,99.7382,8,18.8593,-45,4
14.2,100.433,8,18.8593,-45,4
14.3,99.9699,8,18.8593,-45,4
14.4,99.9699,8,18.8593,-45,4
14.5,99.9699,8,18.8593,-45,4
14.6,99.9699,8,18.8593,-45,4
14.7,100.086,8,18.8593,-45,4
14.8,99.7382,8,18.8593,-45,4
14.9,100.202,8,18.8593,-45,4
15,99.9699,8,18.8593,-45,4
15.1,95.9155,8,18.8593,-45,4
15.2,0,8,18.8593,-45,4
15.3,0,8,18.8593,-45,4
15.4,0,8,18.8593,-45,4
15.5,92.2086,8,18.8593,-45,4
15.6,100.086,8,18.8593,-45,4
15.7,99.8541,8,18.8593,-45,4
