Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
16.8,65.1021,7,4.28902,-90,3
16.9,0,7,0.0540022,-90,3
17,0,8,1.59599,-90,1
17.1,0,8,1.67624,-90,4
17.2,37.648,8,5.36006,-90,1
17.3,98.464,8,8.53881,-90,4
17.4,100.086,8,11.1841,-90,4
17.5,99.9699,8,13.3473,-90,4
17.6,99.9699,8,15.0788,-90,4
17.7,99.8541,8,16.4263,-90,4
17.8,100.202,8,17.4346,-90,4
17.9,99.9699,8,18.145,-90,4
18,99.8541,8,18.5956,-90,4
18.1,100.086,8,18.8203,-90,4
18.2,100.086,8,18.8593,-90,4
18.3,99.9699,8,18.8593,-90,4
18.4,99.9699,8,18.8593,-90,4
18.5,100.086,8,18.8593,-90,4
18.6,99.9699,8,18.8593,-90,4
18.7,99.8541,8,18.8593,-90,4
18.8,100.202,8,18.8593,-90,4
18.9,99.9699,8,18.8593,-90,4
19,99.8541,8,18.8593,-90,4
19.1,100.086,8,18.8593,-90,4
19.2,99.9699,8,18.8593,-90,4
19.3,99.9699,8,18.8593,-90,4
19.4,99.9699,8,18.8593,-90,4
19.5,100.086,8,18.8593,-90,4
19.6,99.9699,8,18.8593,-90,4
19.7,99.9699,8,18.8593,-90,4
19.8,100.202,8,18.8593,-90,4
19.9,99.9699,8,18.8593,-90,4
20,99.8541,8,18.8593,-90,4
20.1,99.8541,8,18.8593,-90,4
20.2,100.202,8,18.8593,-90,4
20.3,99.9699,8,18.8593,-90,4
20.4,99.9699,8,18.8593,-90,4
20.5,100.086,8,18.8593,-90,4
20.6,99.8541,8,18.8593,-90,4
20.7,99.9699,8,18.8593,-90,4
20.8,100.086,8,18.8593,-90,4
20.9,100.086,8,18.8593,-90,4
21,99.9699,8,18.8593,-90,4
21.1,99.9699,8,18.8593,-90,4
21.2,100.086,8,18.8593,-90,4
21.3,99.159,8,18.8593,-90,1
21.4,100.665,8,18.8593,-90,4
21.5,100.086,8,18.8593,-90,4
21.6,100.086,8,18.8593,-90,4
21.7,99.8541,8,18.8593,-90,4
21.8,100.086,8,18.8593,-90,4
21.9,99.9699,8,18.8593,-90,4
22,99.9699,8,18.8593,-90,4
22.1,100.086,8,18.8593,-90,4
22.2,99.8541,8,18.8593,-90,4
22.3,100.086,8,18.8593,-90,4
22.4,100.086,8,18.8593,-90,4
22.5,99.7382,8,18.8593,-90,4
22.6,100.317,8,18.8593,-90,4
22.7,99.9699,8,18.8593,-90,4
22.8,99.9699,8,18.8593,-90,4
22.9,99.9661,8,18.8593,-90,4
23,99.8579,8,18.8593,-90,4
23.1,99.9699,8,18.8593,-90,4
23.2,100.086,8,18.8593,-90,4
23.3,100.086,8,18.8593,-90,4
23.4,100.086,8,18.8593,-90,4
23.5,99.8541,8,18.8593,-90,4
23.6,100.086,8,18.8593,-90,4
23.7,99.9699,8,18.8593,-90,4
23.8,100.086,8,18.8593,-90,4
23.9,99.8541,8,18.8593,-90,4
24,100.086,8,18.8593,-90,4
24.1,99.8541,8,18.8593,-90,4
24.2,100.086,8,18.8593,-90,4
24.3,99.9699,8,18.8593,-90,4
24.4,99.9699,8,18.8593,-90,4
24.5,99.9699,8,18.8593,-90,4
24.6,99.9699,8,18.8593,-90,4
24.7,100.202,8,18.8593,-90,4
24.8,99.8541,8,18.8593,-90,4
24.9,99.9699,8,18.8593,-90,4
25,100.086,8,18.8593,-90,4
25.1,0.11584,8,18.8593,-90,4
