Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
14.9,0,5,-0.0667777,-153.435,1
15,0,5,-0.67067,-153.435,1
15.1,0,5,-1.30955,-153.435,1
15.2,0,5,-1.98588,-153.435,1
15.3,0,5,-2.70234,-153.435,1
15.4,0,6,-2.09536,-153.435,1
15.5,0,6,-1.26727,-153.435,2
15.6,0,6,-0.426883,-153.435,2
15.7,0,6,0.42547,-153.435,2
15.8,0,6,1.28924,-153.435,2
15.9,0,6,2.16375,-153.435,2
16,0,6,3.04818,-153.435,2
16.1,0,6,3.94152,-153.435,2
16.2,0,6,4.84254,-153.435,2
16.3,0,6,5.74974,-153.435,2
16.4,0,6,6.66135,-153.435,2
16.5,0,6,7.57527,-153.435,2
16.6,0,6,8.48895,-153.435,2
16.7,0,6,9.39951,-153.435,2
16.8,0,6,10.3033,-153.435,2
16.9,0,6,11.1965,-153.435,2
17,0,6,12.0741,-153.435,1
17.1,0,6,12.0741,-153.435,2
17.2,0,6,12.9307,-153.435,2
17.3,0,6,13.7597,-153.435,2
17.4,0,6,14.5537,-153.435,2
17.5,0,6,15.3039,-153.435,2
17.6,0,6,16.0002,-153.435,2
17.7,0,6,16.631,-153.435,2
17.8,0,6,17.1829,-153.435,2
17.9,0,6,17.6405,-153.435,2
18,0,6,17.9861,-153.435,2
18.1,0,6,18.1999,-153.435,2
18.2,0,6,18.26,-153.435,2
18.3,0,6,18.26,-153.435,2
18.4,0,6,18.26,-153.435,2
18.5,0,6,18.26,-153.435,2
18.6,0,6,18.26,-153.435,2
18.7,0,6,18.26,-153.435,2
18.8,0,6,18.26,-153.435,2
18.9,0,6,18.26,-153.435,2
19,78.4237,6,18.26,-153.435,2
19.1,99.9699,6,18.26,-153.435,2
19.2,100.086,6,18.26,-153.435,2
19.3,99.9699,6,18.26,-153.435,2
19.4,99.8541,6,18.26,-153.435,2
19.5,100.086,6,18.26,-153.435,2
19.6,99.8541,6,18.26,-153.435,2
19.7,100.086,6,18.26,-153.435,2
19.8,100.086,6,18.26,-153.435,2
19.9,100.086,6,18.26,-153.435,2
20,99.8541,6,18.26,-153.435,2
20.1,100.086,6,18.26,-153.435,2
20.2,99.9699,6,18.26,-153.435,2
20.3,99.8541,6,18.26,-153.435,2
20.4,100.086,6,18.26,-153.435,2
20.5,99.9699,6,18.26,-153.435,2
20.6,100.086,6,18.26,-153.435,2
20.7,99.8541,6,18.26,-153.435,2
20.8,99.8541,6,18.26,-153.435,2
20.9,100.317,6,18.26,-153.435,2
21,99.8541,6,18.26,-153.435,2
21.1,100.202,6,18.26,-153.435,2
21.2,99.8541,6,18.26,-153.435,2
21.3,99.159,6,18.26,-153.435,1
21.4,100.897,6,18.26,-153.435,2
21.5,99.9699,6,18.26,-153.435,2
21.6,99.9699,6,18.26,-153.435,2
21.7,100.086,6,18.26,-153.435,2
21.8,99.8541,6,18.26,-153.435,2
21.9,100.086,6,18.26,-153.435,2
22,100.086,6,18.26,-153.435,2
22.1,99.8541,6,18.26,-153.435,2
22.2,99.9699,6,18.26,-153.435,2
22.3,100.086,6,18.26,-153.435,2
22.4,100.086,6,18.26,-153.435,2
22.5,99.8541,6,18.26,-153.435,2
22.6,99.9699,6,18.26,-153.435,2
22.7,100.086,6,18.26,-153.435,2
22.8,99.9699,6,18.26,-153.435,2
22.9,100.086,6,18.26,-153.435,2
23,99.8541,6,18.26,-153.435,2
23.1,100.202,6,18.26,-153.435,2
23.2,99.9699,6,18.26,-153.435,2
23.3,99.7382,6,18.26,-153.435,2
23.4,100.317,6,18.26,-153.435,2
23.5,99.8541,6,18.26,-153.435,2
23.6,99.9699,6,18.26,-153.435,2
23.7,100.086,6,18.26,-153.435,2
23.8,100.086,6,18.26,-153.435,2
23.9,99.9699,6,18.26,-153.435,2
24,99.8541,6,18.26,-153.435,2
24.1,100.086,6,18.26,-153.435,2
24.2,99.9699,6,18.26,-153.435,2
24.3,99.9699,6,18.26,-153.435,2
24.4,99.9699,6,18.26,-153.435,2
24.5,100.086,6,18.26,-153.435,2
24.6,99.9699,6,18.26,-153.435,2
24.7,99.9699,6,18.26,-153.435,2
24.8,99.9699,6,18.26,-153.435,2
24.9,100.086,6,18.26,-153.435,2
25,99.9699,6,18.26,-153.435,2
25.1,0.11584,6,18.26,-153.435,2
